GPT_processed_sentence,tagged_sentence,original_passage
"In der <Diagnostic>T2-Wichtung</Diagnostic> finden sich periventrikuläre Hyperintensitäten als <Diagnosis_or_Pathology>Zeichen der zerebralen Mikroangiopathie</Diagnosis_or_Pathology>, kein <Diagnosis_or_Pathology>Infarkt</Diagnosis_or_Pathology>, <Other_Finding>MR-Angiographie o.B.</Other_Finding>","<Diagnosis_or_Pathology>In der <Diagnostic>T2-Wichtung</Diagnostic> periventrikuläre Hyperintensitäten</Diagnosis_or_Pathology> als <Diagnosis_or_Pathology>Zeichen der zerebralen Mikroangiopathie</Diagnosis_or_Pathology>, kein <Diagnosis_or_Pathology>Infarkt</Diagnosis_or_Pathology>, <Other_Finding>MR-Angiographie o.B.</Other_Finding>","{'id': 23, 'type': 'sentence', 'text': 'In der T2-Wichtung periventrikuläre Hyperintensitäten als Zeichen der zerebralen Mikroangiopathie, kein Infarkt, MR-Angiographie o.B.', 'offsets': [[1467, 1600]], 'document_id': 'Vogler.tsv'}"
"<Therapeutic>Die Fortsetzung</Therapeutic> der <Therapeutic>palliativen Polychemotherapie</Therapeutic> mit <Therapeutic>FOLFOX</Therapeutic>, <Therapeutic>2. Zyklus</Therapeutic>.","<Therapeutic>Fortsetzung der palliativen Polychemotherapie mit FOLFOX, 2. Zyklus</Therapeutic>.","{'id': 22, 'type': 'sentence', 'text': 'Fortsetzung der palliativen Polychemotherapie mit FOLFOX, 2. Zyklus.', 'offsets': [[799, 867]], 'document_id': 'Colon_Fake_C.tsv'}"
"23.01.28: Ein <Therapeutic>Klappenersatz</Therapeutic> sowie eine <Therapeutic>MKE bio</Therapeutic> und eine <Therapeutic>AKE 23er bio</Therapeutic> wurden durchgeführt, mit einer <Therapeutic>Klemmzeit von 2h30 min</Therapeutic>. Es wurde eine <Other_Finding>SM Schwelle Ventrikel von 1,3</Other_Finding> und eine <Other_Finding>Vorhofgröße von 13</Other_Finding> festgestellt. Es wurden <Clinical_Drug>6 Einheiten EK</Clinical_Drug>, <Clinical_Drug>800 ml HLM-Blut</Clinical_Drug> und <Clinical_Drug>2 TK</Clinical_Drug> verabreicht.","23.01.28: <Therapeutic>Klappenersatz</Therapeutic> <Therapeutic>MKE bio</Therapeutic>, <Therapeutic>AKE 23er bio</Therapeutic>, <Therapeutic>Klemmzeit 2h30 min</Therapeutic>, <Other_Finding>SM Schwelle Ventrikel 1,3</Other_Finding>, <Other_Finding>Vorhof 13</Other_Finding>. <Clinical_Drug>6 EK</Clinical_Drug>, <Clinical_Drug>800 ml HLM-Blut</Clinical_Drug>, <Clinical_Drug>2 TK</Clinical_Drug>.","{'id': 15, 'type': 'sentence', 'text': '23.01.28: Klappenersatz MKE bio, AKE 23er bio, Klemmzeit 2h30 min, SM Schwelle Ventrikel 1,3, Vorhof 13. 6 EK, 800 ml HLM-Blut, 2 TK.', 'offsets': [[795, 928]], 'document_id': 'Amanda_Alzheimer.tsv'}"
Eine <Diagnostic>Neubewertung</Diagnostic> und anschließende weitere <Therapeutic>Planung der Therapie</Therapeutic> in ca. 2 Monaten geplant.,<Diagnostic>Re-Staging</Diagnostic> und anschl. weitere <Therapeutic>Therapieplanung</Therapeutic> in ca. 2 Monaten geplant.,"{'id': 24, 'type': 'sentence', 'text': 'Re-Staging und anschl. weitere Therapieplanung in ca. 2 Monaten geplant.', 'offsets': [[1097, 1169]], 'document_id': 'Dewald.tsv'}"
"<Other_Finding>Mikrobiologischer Kultureller Befund</Other_Finding>, <Diagnostic>Harnkultur</Diagnostic> vom 3.11.2064:","<Other_Finding>Mikrobiologisch-Kultureller Befund</Other_Finding>, <Diagnostic>Harnkultur</Diagnostic> vom 3.11.2064:","{'id': 61, 'type': 'sentence', 'text': 'Mikrobiologisch-Kultureller Befund, Harnkultur vom 3.11.2064:', 'offsets': [[6472, 6533]], 'document_id': 'Colon_Fake_J.tsv'}"
<Clinical_Drug>Die Einnahme von LAEVOLAC 0-0-0-2/3</Clinical_Drug> wird bei <Diagnosis_or_Pathology>Übelkeit</Diagnosis_or_Pathology> oder <Diagnosis_or_Pathology>Erbrechen</Diagnosis_or_Pathology> empfohlen.,<Clinical_Drug>LAEVOLAC 0-0-0-2/3</Clinical_Drug> bei <Diagnosis_or_Pathology>Übelkeit</Diagnosis_or_Pathology> oder <Diagnosis_or_Pathology>Erbrechen</Diagnosis_or_Pathology>,"{'id': 149, 'type': 'sentence', 'text': 'LAEVOLAC 0-0-0-2/3 bei Übelkeit oder Erbrechen', 'offsets': [[9316, 9362]], 'document_id': 'Colon_Fake_H.tsv'}"
"Caput/Collum: <Other_Finding>Meningitis-Negativität</Other_Finding>, <Other_Finding>Frei von Hals-Nasen-Ohren-Infektionen</Other_Finding>, <Other_Finding>Runde, mittelweite, lichtreaktive Pupillen</Other_Finding>, <Other_Finding>Beidseitige direkte und indirekte Lichtreaktionen prompt</Other_Finding>, <Other_Finding>Keine tastbaren Lymphknoten im Halsbereich</Other_Finding>. <Other_Finding>Herz: Rein, rhythmisch, ohne pathologische Geräusche</Other_Finding>. Pulmo: <Other_Finding>Beidseitig belüftet</Other_Finding>, keine <Diagnosis_or_Pathology>pathologischen Röntgenbefunde</Diagnosis_or_Pathology>, <Other_Finding>Atemgeräusche beidseits</Other_Finding>. Abd.: <Other_Finding>Weicher Bauch</Other_Finding>, kein <Diagnosis_or_Pathology>Darmverschluss</Diagnosis_or_Pathology>, kein <Diagnosis_or_Pathology>Lokalisierte Schmerzen</Diagnosis_or_Pathology>, keine <Diagnosis_or_Pathology>Abwehrspannung</Diagnosis_or_Pathology>, <Other_Finding>Darmgeräusche in allen Quadranten</Other_Finding>, <Other_Finding>Leber unter dem rechten Rippenbogen</Other_Finding>, <Other_Finding>Nicht tastbare Milz</Other_Finding>, <Other_Finding>Beidseitig frei bewegliche Nieren</Other_Finding>, <Diagnosis_or_Pathology>Kleine, etwa 1x1cm große Resistenz in der Blasenregion tastbar</Diagnosis_or_Pathology> (laut Patient schon länger vorhanden), <Diagnosis_or_Pathology>Neu aufgetretene Fistel im perianalen Bereich</Diagnosis_or_Pathology>, ansonsten <Other_Finding>Region deutlich kleiner und weicher</Other_Finding> - siehe Fotodokumentation. <Other_Finding>Gelenke/Extremitäten/Neurologie: Grob unauffällig</Other_Finding>.","Caput/Collum: <Other_Finding>Mening.neg.</Other_Finding>, <Other_Finding>HNAP frei</Other_Finding>, <Other_Finding>Pupillen rund,mw,ic</Other_Finding>, <Other_Finding>LR bds. direkt und indirekt prompt</Other_Finding>, <Other_Finding>LNN palpatorisch unauff</Other_Finding>. <Other_Finding>Cor: rein, rhythmisch, nc.</Other_Finding> Pulmo:<Other_Finding>VA bds.</Other_Finding>, keine <Diagnosis_or_Pathology>pathologischen RGs</Diagnosis_or_Pathology>, <Other_Finding>SKS bds.</Other_Finding> Abd.: <Other_Finding>BD weich</Other_Finding>, kein <Diagnosis_or_Pathology>DS</Diagnosis_or_Pathology>, kein <Diagnosis_or_Pathology>LLS</Diagnosis_or_Pathology>, keine <Diagnosis_or_Pathology>Abwehspannung</Diagnosis_or_Pathology>, <Other_Finding>DG in allen Quadranten rege</Other_Finding>, <Other_Finding>Leber unter RB</Other_Finding>, <Other_Finding>Milz non palp.</Other_Finding>, <Other_Finding>NL bds frei</Other_Finding>, <Diagnosis_or_Pathology>kleine ca (1x1cm) große Resistenz UB Blasenregion tastbar</Diagnosis_or_Pathology> (lt. Pat. schon länger) <Diagnosis_or_Pathology>neu aufgetretene Fistel perianal</Diagnosis_or_Pathology>, ansonsten <Other_Finding>Region deutl. kleiner und weicher</Other_Finding> - siehe Fotodok. <Other_Finding>Gelenke/Extremitäten/Neurologie: grob unauff</Other_Finding>.","{'id': 25, 'type': 'sentence', 'text': 'Caput/Collum: Mening.neg., HNAP frei, Pupillen rund,mw,ic, LR bds. direkt und indirekt prompt, LNN palpatorisch unauff. Cor: rein, rhythmisch, nc. Pulmo:VA bds., keine pathologischen RGs, SKS bds. Abd.: BD weich, kein DS, kein LLS, keine Abwehspannung, DG in allen Quadranten rege, Leber unter RB, Milz non palp., NL bds frei, kleine ca (1x1cm) große Resistenz UB Blasenregion tastbar (lt. Pat. schon länger) neu aufgetretene Fistel perianal, ansonsten Region deutl. kleiner und weicher - siehe Fotodok. Gelenke/Extremitäten/Neurologie: grob unauff.', 'offsets': [[1034, 1583]], 'document_id': 'Colon_Fake_E.tsv'}"
"<Diagnostic>Neurologische Untersuchung</Diagnostic>: Während der <Diagnostic>Untersuchung</Diagnostic> eine <Diagnosis_or_Pathology>Absence von ca. 1 Minute Dauer</Diagnosis_or_Pathology>. Kein <Diagnosis_or_Pathology>Meningismus</Diagnosis_or_Pathology>. <Other_Finding>Hirnnerven intakt</Other_Finding>. <Diagnosis_or_Pathology>Leicht sakkadierte Blickfolge nach links</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Intermittierende Myoklonie der linken Gesichtshälfte, zeitweise unter Einbeziehung des rechten Mundwinkels</Diagnosis_or_Pathology>. <Other_Finding>Babinski neg</Other_Finding>. <Other_Finding>MER stgl. lebhaft auslösbar</Other_Finding>. <Diagnosis_or_Pathology>Kraft links 4/5 (OE+UE), rechts 5/5</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Einbeinstand links nicht möglich, rechts unauffällig</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Seiltänzer unsicher</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Fingerreihe links kaum möglich, rechts unauffällig</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Diadochokinese links verlangsamt mit Spiegelbewegung, rechts normal</Diagnosis_or_Pathology>. <Other_Finding>Sprache deutlich</Other_Finding>. <Diagnosis_or_Pathology>Sensibilität links (OE+UE) vermindert</Diagnosis_or_Pathology> (aufgrund der Sprachbarriere nur bedingt zu testen) <Diagnostic>Laboruntersuchung</Diagnostic>: Siehe Anhang. <Other_Finding>Tacrolimusspiegel vom 03.07.23: 5.2 ng/ml</Other_Finding>","<Diagnostic>Neurologische Untersuchung</Diagnostic>: Während der <Diagnostic>Untersuchung</Diagnostic> eine <Diagnosis_or_Pathology>Absence von ca. 1 Minute Dauer</Diagnosis_or_Pathology>. Kein <Diagnosis_or_Pathology>Meningismus</Diagnosis_or_Pathology>. <Other_Finding>Hirnnerven intakt</Other_Finding>. <Diagnosis_or_Pathology>Leicht sakkadierte Blickfolge nach links</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Intermittierende Myoklonie der linken Gesichtshälfte, zeitweise unter Einbeziehung des rechten Mundwinkels</Diagnosis_or_Pathology>. <Other_Finding>Babinski neg</Other_Finding>. <Other_Finding>MER stgl. lebhaft auslösbar</Other_Finding>. <Diagnosis_or_Pathology>Kraft links 4/5 (OE+UE), rechts 5/5</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Einbeinstand links nicht möglich, rechts unauffällig</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Seiltänzer unsicher</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Fingerreihe links kaum möglich, rechts unauffällig</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Diadochokinese links verlangsamt mit Spiegelbewegung, rechts normal</Diagnosis_or_Pathology>. <Other_Finding>Sprache deutlich</Other_Finding>. <Diagnosis_or_Pathology>Sensibilität links (OE+UE) vermindert</Diagnosis_or_Pathology> (aufgrund der Sprachbarriere nur bedingt zu testen) <Diagnostic>Labor</Diagnostic>: Siehe Anhang. <Other_Finding>Tacrolimusspiegel vom 03.07.23: 5.2 ng/ml</Other_Finding>","{'id': 15, 'type': 'sentence', 'text': 'Neurologische Untersuchung: Während der Untersuchung eine Absence von ca. 1 Minute Dauer. Kein Meningismus. Hirnnerven intakt. Leicht sakkadierte Blickfolge nach links. Intermittierende Myoklonie der linken Gesichtshälfte, zeitweise unter Einbeziehung des rechten Mundwinkels. Babinski neg. MER stgl. lebhaft auslösbar. Kraft links 4/5 (OE+UE), rechts 5/5. Einbeinstand links nicht möglich, rechts unauffällig. Seiltänzer unsicher. Fingerreihe links kaum möglich, rechts unauffällig. Diadochokinese links verlangsamt mit Spiegelbewegung, rechts normal. Sprache deutlich. Sensibilität links (OE+UE) vermindert (aufgrund der Sprachbarriere nur bedingt zu testen) Labor: Siehe Anhang. Tacrolimusspiegel vom 03.07.23: 5.2 ng/ml', 'offsets': [[2923, 3646]], 'document_id': 'Zezelj.tsv'}"
"<Diagnosis_or_Pathology>Tumormarker</Diagnosis_or_Pathology>: Der <Diagnosis_or_Pathology>CEA-Wert</Diagnosis_or_Pathology> beträgt 24.0, während der <Other_Finding>CA19-9-Wert</Other_Finding> bei 2.7 liegt.","<Diagnosis_or_Pathology>Tumormarker</Diagnosis_or_Pathology>: <Diagnosis_or_Pathology>CEA: 24.0</Diagnosis_or_Pathology>, <Other_Finding>CA19-9: 2.7</Other_Finding>","{'id': 27, 'type': 'sentence', 'text': 'Tumormarker: CEA: 24.0, CA19-9: 2.7', 'offsets': [[1724, 1759]], 'document_id': 'Colon_Fake_B.tsv'}"
<Clinical_Drug>Medikamentengabe</Clinical_Drug> (letzte in 24 Stunden):,<Clinical_Drug>Medikamente</Clinical_Drug> (letzte Gabe in 24 Stunden):,"{'id': 41, 'type': 'sentence', 'text': 'Medikamente (letzte Gabe in 24 Stunden):', 'offsets': [[5622, 5662]], 'document_id': 'Weber.tsv'}"
"<Clinical_Drug>Ramipril 7,5-0-0 mg</Clinical_Drug> <Clinical_Drug>Amlodipin 5-0-0 mg</Clinical_Drug> <Clinical_Drug>Frisium 10-0-10 mg</Clinical_Drug> <Clinical_Drug>Levetiracetam (Keppra ®) 500-0-500 mg (=23,9 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Ethosuximid (Petnidan E) 250-250-250 mg (=17,9 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Tacrolimus 6-0-6 mg (=0,28 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Bei <Diagnosis_or_Pathology>geriatrischen tonisch-klonischen Anfällen > 3 Minuten</Diagnosis_or_Pathology>: Buccolam E 10 mg</Clinical_Drug> <Clinical_Drug>Bei <Diagnosis_or_Pathology>Blutdruckwerten >145/95 mmHg</Diagnosis_or_Pathology>: 6 Tropfen Nifedipin</Clinical_Drug> (<Clinical_Drug>Adalat E</Clinical_Drug>) (maximal alle 6-8 Stunden) Für eventuelle Rückfragen stehen wir gerne jederzeit zur Verfügung.","<Clinical_Drug>Ramipril 7,5-0-0 mg</Clinical_Drug> <Clinical_Drug>Amlodipin 5-0-0 mg</Clinical_Drug> <Clinical_Drug>Frisium 10-0-10 mg</Clinical_Drug> <Clinical_Drug>Levetiracetam (Keppra ®) 500-0-500 mg (=23,9 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Ethosuximid (Petnidan E) 250-250-250 mg (=17,9 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Tacrolimus 6-0-6 mg (=0,28 mg/kg KG</Clinical_Drug>) <Clinical_Drug>Bei <Diagnosis_or_Pathology>geri. ton.-klon. Anfällen > 3 Min.</Diagnosis_or_Pathology>: Buccolam E 10 mg</Clinical_Drug> <Clinical_Drug>Bei <Diagnosis_or_Pathology>Blutdruckwerten >145/95 mmHg</Diagnosis_or_Pathology> 6 gtt Nifedipin</Clinical_Drug> (<Clinical_Drug>Adalat E</Clinical_Drug>) (max. alle 6-8h) Für eventuelle Rückfragen stehen wir gerne jederzeit zur Verfügung.","{'id': 24, 'type': 'sentence', 'text': 'Ramipril 7,5-0-0 mg Amlodipin 5-0-0 mg Frisium 10-0-10 mg Levetiracetam (Keppra ®) 500-0-500 mg (=23,9 mg/kg KG) Ethosuximid (Petnidan E) 250-250-250 mg (=17,9 mg/kg KG) Tacrolimus 6-0-6 mg (=0,28 mg/kg KG) Bei geri. ton.-klon. Anfällen > 3 Min.: Buccolam E 10 mg Bei Blutdruckwerten >145/95 mmHg 6 gtt Nifedipin (Adalat E) (max. alle 6-8h) Für eventuelle Rückfragen stehen wir gerne jederzeit zur Verfügung.', 'offsets': [[5086, 5494]], 'document_id': 'Zezelj.tsv'}"
"Ihr freundliches Einverständnis voraussetzend, empfehlen wir eine Wiedervorstellung nach entsprechender Terminvereinbarung (unter 0233-220-312257) zum erneuten <Therapeutic>Stentwechsel</Therapeutic>. Da sich bereits dieses Mal der <Therapeutic>Stentwechsel</Therapeutic> als technisch schwierig erwiesen hat, sollte der nächste <Therapeutic>Wechsel</Therapeutic> unter stationären Bedingungen erfolgen, da dann möglicherweise ein <Therapeutic>perkutanes Vorgehen</Therapeutic> vorteilhaft wäre.","Ihr freundl. Einverst. voraussetzende, empfehlen wir Wiedervorstellung nach entsprechender Termin Vereinbaarung (unter 0233-220-312257) zum <Therapeutic>erneuten Stent Wechsel</Therapeutic>. Da sich bereits dieses Mal das <Therapeutic>Stetwechsel</Therapeutic> als techn. schwierig erwiesen hat, sollte nächstes <Therapeutic>Wechsel</Therapeutic> unter stat. Bedingungen erfolgen, da dann möglicherweise ein <Therapeutic>perkutanes Vorgehen</Therapeutic> vorteilhaft erwiesen würden.","{'id': 13, 'type': 'sentence', 'text': 'Ihr freundl. Einverst. voraussetzende, empfehlen wir Wiedervorstellung nach entsprechender Termin Vereinbaarung (unter 0233-220-312257) zum erneuten Stent Wechsel. Da sich bereits dieses Mal das Stetwechsel als techn. schwierig erwiesen hat, sollte nächstes Wechsel unter stat. Bedingungen erfolgen, da dann möglicherweise ein perkutanes Vorgehen vorteilhaft erwiesen würden.', 'offsets': [[1355, 1730]], 'document_id': 'Rieser.tsv'}"
<Therapeutic>Die endständige Sigmoideostomie</Therapeutic> wurde am 4.4.2063 durchgeführt.,<Therapeutic>endständige Sigmoideostomie</Therapeutic> (4.4.2063),"{'id': 19, 'type': 'sentence', 'text': 'endständige Sigmoideostomie (4.4.2063)', 'offsets': [[654, 692]], 'document_id': 'Colon_Fake_A.tsv'}"
"<Other_Finding>Ungestörte Pupillomotorik</Other_Finding>, <Diagnosis_or_Pathology>erschöpflicher horizontaler Blickrichtungsnystagmus in beide Richtungen</Diagnosis_or_Pathology>, <Other_Finding>übriger Hirnnervenstatus unauffällig</Other_Finding>. <Other_Finding>Klare Sprache</Other_Finding>. 

Substantiviert: Eine <Other_Finding>ungestörte Pupillomotorik</Other_Finding>, eine <Diagnosis_or_Pathology>erschöpfliche horizontale Blickrichtungsnystagmus in beide Richtungen</Diagnosis_or_Pathology> und ein <Other_Finding>unauffälliger übriger Hirnnervenstatus</Other_Finding> wurden festgestellt. Die <Other_Finding>Sprache</Other_Finding> war klar.","<Other_Finding>Ungestörte Pupillomotorik</Other_Finding>, <Diagnosis_or_Pathology>erschöpflicher horizontaler Blickrichtungsnystagmus in beide Richtungen</Diagnosis_or_Pathology>, <Other_Finding>übriger Hirnnervenstatus unauffällig</Other_Finding>. <Other_Finding>Klare Sprache</Other_Finding>.","{'id': 34, 'type': 'sentence', 'text': 'Ungestörte Pupillomotorik, erschöpflicher horizontaler Blickrichtungsnystagmus in beide Richtungen, übriger Hirnnervenstatus unauffällig. Klare Sprache.', 'offsets': [[3035, 3187]], 'document_id': 'Theodor.tsv'}"
<Diagnostic>Histologie</Diagnostic>: <Other_Finding>Offene Histologie</Other_Finding>.,<Diagnostic>Histologie</Diagnostic>: <Other_Finding>Histologie offen</Other_Finding>.,"{'id': 27, 'type': 'sentence', 'text': 'Histologie: Histologie offen.', 'offsets': [[1642, 1671]], 'document_id': 'Meulengracht.tsv'}"
"- weiterhin <Therapeutic>Bilanzierung, Ziel -500 - -1000ml</Therapeutic>","- weiterhin <Therapeutic>Bilanz, Ziel -500 - -1000ml</Therapeutic>","{'id': 32, 'type': 'sentence', 'text': '- weiterhin Bilanz, Ziel -500 - -1000ml', 'offsets': [[2472, 2511]], 'document_id': 'Amanda_Alzheimer.tsv'}"
"N: <Other_Finding>Isokore, lichtreagible Pupillen</Other_Finding>","N: <Other_Finding>Pupillen isokor, lichtreagibel</Other_Finding>","{'id': 27, 'type': 'sentence', 'text': 'N: Pupillen isokor, lichtreagibel', 'offsets': [[2304, 2337]], 'document_id': 'Amanda_Alzheimer.tsv'}"
Es konnte kein <Diagnostic>CT mit Kontrastmittel</Diagnostic> durchgeführt werden.,kein <Diagnostic>CT mit Kontrast durchgeführt</Diagnostic> werden.,"{'id': 35, 'type': 'sentence', 'text': 'kein CT mit Kontrast durchgeführt werden.', 'offsets': [[1458, 1499]], 'document_id': 'Colon_Fake_A.tsv'}"
"angegebene <Other_Finding>Symmetrie der Mundwinkel</Other_Finding> (<Diagnosis_or_Pathology>Asymmetrie der Nasolabialfalte rechts nach <Therapeutic>Nasen-OP</Therapeutic></Diagnosis_or_Pathology>), <Other_Finding>gerade Zunge</Other_Finding>","angegeben, <Other_Finding>Mundwinkel symmetrisch</Other_Finding> (<Diagnosis_or_Pathology>asymmetrische Nasolabialfalte re. nach <Therapeutic>Nasen-OP</Diagnosis_or_Pathology></Therapeutic>), <Other_Finding>Zunge gerade</Other_Finding>,","{'id': 134, 'type': 'sentence', 'text': 'angegeben, Mundwinkel symmetrisch (asymmetrische Nasolabialfalte re. nach Nasen-OP), Zunge gerade,', 'offsets': [[8439, 8537]], 'document_id': 'Colon_Fake_H.tsv'}"
"<Other_Finding>Herzrhythmus: Sinusrhythmus, normokard</Other_Finding>, <Other_Finding>Blutdruck normal</Other_Finding>.","<Other_Finding>Herz: SR, normocard</Other_Finding>, <Other_Finding>HT rein</Other_Finding>.","{'id': 35, 'type': 'sentence', 'text': 'Herz: SR, normocard, HT rein.', 'offsets': [[1499, 1528]], 'document_id': 'Colon_Fake_J.tsv'}"
"Wir berichten über unsere gemeinsame Pat. Irina Popovic, geb. am 17.08.1958, die vom 11.01.-14.01.2026 <Therapeutic>einer Behandlung auf unserer unfallchirurgischen Station 4</Therapeutic> unterzogen wurde.","wir berichten über unsere gemeinsame Pat. Irina Popovic, geb. am 17.08.1958, die vom 11.01.-14.01.2026 <Therapeutic>auf unserer unfallchirurgischen Station 4 behandelt</Therapeutic> wurde.","{'id': 2, 'type': 'sentence', 'text': 'wir berichten über unsere gemeinsame Pat. Irina Popovic, geb. am 17.08.1958, die vom 11.01.-14.01.2026 auf unserer unfallchirurgischen Station 4 behandelt wurde.', 'offsets': [[28, 189]], 'document_id': 'Popovic.tsv'}"
"<Therapeutic>Das Ataxietraining</Therapeutic> dient dazu, die <Therapeutic>Verbesserung der Gangsicherheit</Therapeutic> zu erreichen.","<Therapeutic>Ataxietraining</Therapeutic>, <Therapeutic>Gangsicherheit verbessern</Therapeutic>","{'id': 66, 'type': 'sentence', 'text': 'Ataxietraining, Gangsicherheit verbessern', 'offsets': [[5967, 6008]], 'document_id': 'Theodor.tsv'}"
