GPT_processed_sentence,tagged_sentence,original_passage
<Diagnostic>CCT</Diagnostic> und <Diagnostic>GK-CT</Diagnostic> sind Teil der <Diagnostic>Anamnese</Diagnostic>. Diese wurde übernommen von der 3 Süd. Pt mit <Diagnosis_or_Pathology>Kombiniertem Aortenvitium</Diagnosis_or_Pathology> und <Diagnosis_or_Pathology>führender Stenose</Diagnosis_or_Pathology>. Jetzt seit heute Anend gibt es eine <Diagnosis_or_Pathology>zunehmende Eintrübung</Diagnosis_or_Pathology> und <Diagnosis_or_Pathology>Dyspnoe</Diagnosis_or_Pathology>.,05.02.28: <Diagnostic>CCT</Diagnostic> und <Diagnostic>GK-CT</Diagnostic> <Diagnostic>Anamnese</Diagnostic>: Übernahme von der 3 Süd. Pt mit <Diagnosis_or_Pathology>Kombiniertem Aortenvitium</Diagnosis_or_Pathology> und <Diagnosis_or_Pathology>führender Stenose</Diagnosis_or_Pathology>. Jetzt seit heute Anend <Diagnosis_or_Pathology>zunehmend eingetrübt</Diagnosis_or_Pathology> und <Diagnosis_or_Pathology>Dyspnö</Diagnosis_or_Pathology>.,"{'id': 18, 'type': 'sentence', 'text': '05.02.28: CCT und GK-CT Anamnese: Übernahme von der 3 Süd. Pt mit Kombiniertem Aortenvitium und führender Stenose. Jetzt seit heute Anend zunehmend eingetrübt und Dyspnö.', 'offsets': [[1067, 1237]], 'document_id': 'Amanda_Alzheimer.tsv'}"
"Eine <Other_Finding>Stanzbiopsie</Other_Finding> wurde durchgeführt zur <Therapeutic>Therapieevaluation</Therapeutic> eines <Diagnosis_or_Pathology>malignen Melanoms</Diagnosis_or_Pathology> (Level IV, TD 3,75mm) im Oberbauch links.","<Other_Finding>St.p. <Therapeutic>TE</Other_Finding> eines <Diagnosis_or_Pathology>Malignen Melanoms</Therapeutic> ( Level IV, TD 3,75mm)/ Oberbauch links</Diagnosis_or_Pathology>","{'id': 10, 'type': 'sentence', 'text': 'St.p. TE eines Malignen Melanoms ( Level IV, TD 3,75mm)/ Oberbauch links', 'offsets': [[391, 463]], 'document_id': 'Schnitzler.tsv'}"
<Diagnosis_or_Pathology>Mäßige narbige Veränderungen beidseitig basal</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Nicht abgrenzbare Rundherde</Diagnosis_or_Pathology>.,<Diagnosis_or_Pathology>Mäßige narbige Veränderungen bds. basal</Diagnosis_or_Pathology>. <Diagnosis_or_Pathology>Rundherde nicht abgrenzbar</Diagnosis_or_Pathology>.,"{'id': 86, 'type': 'sentence', 'text': 'Mäßige narbige Veränderungen bds. basal. Rundherde nicht abgrenzbar.', 'offsets': [[4586, 4654]], 'document_id': 'Colon_Fake_H.tsv'}"
<Other_Finding>Zustand nach <Therapeutic>einem Zyklus einer DTIC Hochdosis Chemotherapie</Therapeutic> am 20.5.2027 (C43.4)</Other_Finding>,<Other_Finding>Z. n. <Therapeutic>1 Zyklus einer DTIC Hochdosis Chemotherapie</Other_Finding></Therapeutic> am 20.5.2027 (C43.4),"{'id': 13, 'type': 'sentence', 'text': 'Z. n. 1 Zyklus einer DTIC Hochdosis Chemotherapie am 20.5.2027 (C43.4)', 'offsets': [[674, 744]], 'document_id': 'Ypsilanti.tsv'}"
"2 Hub morgens und abends. Bei <Diagnosis_or_Pathology>Auftreten einer Dyspnoe</Diagnosis_or_Pathology> kann er jederzeit weiter <Clinical_Drug>1-2 Hübe <Therapeutic>Oxis</Therapeutic> inhalieren, bis zum <Diagnosis_or_Pathology>Auftreten von Muskelzittern oder Herzklopfen</Diagnosis_or_Pathology>. Zusätzlich <Clinical_Drug>Euphylong morgens 0,25 und abends vor dem Schlafengehen 0,25 g</Clinical_Drug>. Ich hoffe, dass darunter er das <Diagnosis_or_Pathology>Asthma</Diagnosis_or_Pathology> wieder schnell unter Kontrolle bekommt wie am 2035. Gegen die <Diagnosis_or_Pathology>Pollinose</Diagnosis_or_Pathology> soll er weiterhin <Clinical_Drug>Zyrtec</Clinical_Drug> oder <Clinical_Drug>Tavegil</Clinical_Drug> nehmen, allerdings sollte er dabei vorsichtig sein mit Autofahren, da diese <Therapeutic>Medikamente</Therapeutic> bekanntlich sedierend sind.","2 Hub morgens und abends. Bei <Diagnosis_or_Pathology>Auftreten einer Dyspnoe</Diagnosis_or_Pathology> kann er jederzeit weiter <Clinical_Drug>1-2 Hub <Therapeutic>Oxis</Clinical_Drug> inhalieren</Therapeutic> bis zum <Diagnosis_or_Pathology>Auftreten von Muskelzittern oder Herzklopfen</Diagnosis_or_Pathology>. Zusätzlich <Clinical_Drug>Euphylong morgens 0,25 und abends vor dem Schlafengehen 0,25 g</Clinical_Drug>. Ich hoffe, daß darunter er das <Diagnosis_or_Pathology>Asthma</Diagnosis_or_Pathology> wieder schnell unter Kontrolle bekommt wie am 2035. Gegen die <Diagnosis_or_Pathology>Pollinose</Diagnosis_or_Pathology> soll er weiterhin <Clinical_Drug>Zyrtec</Clinical_Drug> oder <Clinical_Drug>Tavegil</Clinical_Drug> nehmen, allerdings sollte er dabei vorsichtig sein mit Autofahren, da diese <Therapeutic>Medikamente</Therapeutic> bekanntlich sedierend sind.","{'id': 31, 'type': 'sentence', 'text': '2 Hub morgens und abends. Bei Auftreten einer Dyspnoe kann er jederzeit weiter 1-2 Hub Oxis inhalieren bis zum Auftreten von Muskelzittern oder Herzklopfen. Zusätzlich Euphylong morgens 0,25 und abends vor dem Schlafengehen 0,25 g. Ich hoffe, daß darunter er das Asthma wieder schnell unter Kontrolle bekommt wie am 2035. Gegen die Pollinose soll er weiterhin Zyrtec oder Tavegil nehmen, allerdings sollte er dabei vorsichtig sein mit Autofahren, da diese Medikamente bekanntlich sedierend sind.', 'offsets': [[3083, 3578]], 'document_id': 'Waldenström.tsv'}"
Vor 2 Tagen begann Herr Xavier mit der <Therapeutic>Einnahme</Therapeutic> von <Clinical_Drug>Nifedipin</Clinical_Drug> in der <Therapeutic>Dosierung</Therapeutic> von 3 x 20 mg pro Tag.,Vor 2 Tagen begann Herr Xavier mit der <Therapeutic>Einnahme von <Clinical_Drug>Nifedipin</Therapeutic> in der Dosierung von 3 x 20 mg pro Tag</Clinical_Drug>.,"{'id': 51, 'type': 'sentence', 'text': 'Vor 2 Tagen begann Herr Xavier mit der Einnahme von Nifedipin in der Dosierung von 3 x 20 mg pro Tag.', 'offsets': [[3229, 3330]], 'document_id': 'Xavier.tsv'}"
"Bei 60 cm ab ano findet sich eine <Diagnosis_or_Pathology>Makrostruktur des JNET Typs I</Diagnosis_or_Pathology>, welche <Therapeutic>mit der Radial Jaw Zange abgetragen</Therapeutic> wird und die <Therapeutic>Abtragungsstelle mit einem Hämeclip gesichert</Therapeutic> wird. Ab der rechten Flexur bis Coecalpol ist keine Beurteilbarkeit gegeben. Beim Zurückziehen kommen <Diagnosis_or_Pathology>Hämorrhoiden 1. Grades</Diagnosis_or_Pathology> zur Darstellung.","Bei 60 cm ab ano findet sich ein <Diagnosis_or_Pathology>makr. JNET Typ I</Diagnosis_or_Pathology>, welcher <Therapeutic>mit der Radial Jaw Zange abgetragen</Therapeutic> wird und die <Therapeutic>Abtragungsstelle mit einem Hämeclip gesichert</Therapeutic> wird. Ab der rechten Flexur bis Coecalpol keine Beurteilbarkeit gegeben. Beim Zurückziehen kommen <Diagnosis_or_Pathology>Hämorrhoiden 1°</Diagnosis_or_Pathology> zur Darstellung.","{'id': 22, 'type': 'sentence', 'text': 'Bei 60 cm ab ano findet sich ein makr. JNET Typ I, welcher mit der Radial Jaw Zange abgetragen wird und die Abtragungsstelle mit einem Hämeclip gesichert wird. Ab der rechten Flexur bis Coecalpol keine Beurteilbarkeit gegeben. Beim Zurückziehen kommen Hämorrhoiden 1° zur Darstellung.', 'offsets': [[966, 1250]], 'document_id': 'Meulengracht.tsv'}"
Die <Other_Finding>zielsichere Koordination</Other_Finding> des KHV bds.,Koordination: <Other_Finding>KHV bds. zielsicher</Other_Finding>.,"{'id': 139, 'type': 'sentence', 'text': 'Koordination: KHV bds. zielsicher.', 'offsets': [[8801, 8835]], 'document_id': 'Colon_Fake_H.tsv'}"
"Wir berichten Ihnen nachfolgend über o.g. Patientin Marija Obradovic (*29.2.1984), die sich vom 04.11.2024 bis 09.11.2024 in unserer <Therapeutic>stationären Behandlung</Therapeutic> befand.","wir berichten Ihnen nachfolgend über o.g. Patientin Marija Obradovic (*29.2.1984), die sich vom 04.11.2024 bis 09.11.2024 in unserer <Therapeutic>stationären Behandlung</Therapeutic> befand.","{'id': 2, 'type': 'sentence', 'text': 'wir berichten Ihnen nachfolgend über o.g. Patientin Marija Obradovic (*29.2.1984), die sich vom 04.11.2024 bis 09.11.2024 in unserer stationären Behandlung befand.', 'offsets': [[56, 219]], 'document_id': 'Obradovic.tsv'}"
Eine <Diagnostic>Erhebung der Arbeits- und Berufsanamnese</Diagnostic> wurde durchgeführt.,5. <Diagnostic>Arbeits</Diagnostic>- und <Diagnostic>Berufsanamnese</Diagnostic>:,"{'id': 26, 'type': 'sentence', 'text': '5. Arbeits- und Berufsanamnese:', 'offsets': [[2529, 2560]], 'document_id': 'Theodor.tsv'}"
Der <Other_Finding>dermatologische Status</Other_Finding> zeigt am gesamten Integument <Other_Finding>mehrere melanozytäre auflichtmikroskopisch insuspekte Makulae</Other_Finding>.,<Other_Finding>Dermatologischer Status</Other_Finding> : Gesamten Integument <Other_Finding>mehrere melanozytäre auflichtmikroskopisch insuspekte Makulae</Other_Finding>.,"{'id': 34, 'type': 'sentence', 'text': 'Dermatologischer Status : Gesamten Integument mehrere melanozytäre auflichtmikroskopisch insuspekte Makulae.', 'offsets': [[2327, 2435]], 'document_id': 'Dewald.tsv'}"
Am 07.04.2029 erhielt der Patient eine <Therapeutic>Weichteildeckung mit Spalthautsheet und Keratinozytensprühsuspension</Therapeutic>.,07.04.2029: <Therapeutic>Weicliteildeckung mit Spalthautsheet und Keratinozytensprühsuspension</Therapeutic>,"{'id': 20, 'type': 'sentence', 'text': '07.04.2029: Weicliteildeckung mit Spalthautsheet und Keratinozytensprühsuspension', 'offsets': [[777, 858]], 'document_id': 'Albers.tsv'}"
VERLAUF DER <Diagnosis_or_Pathology>TUMORERKRANKUNG</Diagnosis_or_Pathology> -> DER <Diagnosis_or_Pathology>TUMORERKRANKUNG</Diagnosis_or_Pathology>VERLAUF,VERLAUF DER <Diagnosis_or_Pathology>TUMORERKRANKUNG</Diagnosis_or_Pathology>,"{'id': 13, 'type': 'sentence', 'text': 'VERLAUF DER TUMORERKRANKUNG', 'offsets': [[596, 623]], 'document_id': 'Colon_Fake_G.tsv'}"
- Eine <Other_Finding>rezidivierende Lungenembolie</Other_Finding> trat auf im April 2016 und November 2018.,- <Other_Finding>Z.n. rez. Lungenembolie</Other_Finding> (4/16 und 11/18),"{'id': 41, 'type': 'sentence', 'text': '- Z.n. rez. Lungenembolie (4/16 und 11/18)', 'offsets': [[2512, 2554]], 'document_id': 'Xavier.tsv'}"
"Wir berichten Ihnen nachfolgend über o.g. Patienten, der sich am 21.01.2023 in unserer <Therapeutic>teilstationären Behandlung</Therapeutic> befand.","wir berichten Ihnen nachfolgend über o.g. Patienten, der sich am 21.01.2023 in unserer <Therapeutic>teilstationären Behandlung</Therapeutic> befand.","{'id': 3, 'type': 'sentence', 'text': 'wir berichten Ihnen nachfolgend über o.g. Patienten, der sich am 21.01.2023 in unserer teilstationären Behandlung befand.', 'offsets': [[89, 210]], 'document_id': 'Meyr.tsv'}"
"<Therapeutic>Verordnete Hilfsmittel</Therapeutic> für den nachstationären Bedarf: <Therapeutic>Toilettensitzerhöhung</Therapeutic>, <Therapeutic>Badewannenbrett mit Halterung</Therapeutic>. <Therapeutic>Greifzange</Therapeutic>, <Therapeutic>Lumbalbandage Lumbamed plus</Therapeutic>. Folgendes aus dem sozialmedizinischen Bereich wurde beantragt. Beratung hinsichtlich des <Diagnosis_or_Pathology>Schwerbehindertenrechts</Diagnosis_or_Pathology>, wobei eine Antragstellung derzeit von Frau Gebauer abgelehnt wird. Eine notariell beglaubigte Vorsorgevollmacht für die Patientin besteht bei Ehemann und Tochter, außerdem liegt eine Patientenverfügung vor. Beratung der Angehörigen und Antragstellung auf Einstufung in die Pflegeversicherung.","<Therapeutic>Verordnete Hilfsmittel</Therapeutic> für den nachstationären Bedarf: <Therapeutic>Toilettensitzerhöhung</Therapeutic>, <Therapeutic>Badewannenbrett mit Halterung</Therapeutic>. <Therapeutic>Greifzange</Therapeutic>, <Therapeutic>Lumbalbandage Lumbamed plus</Therapeutic>. Folgendes aus dem sozialmedizinischen Bereich wurde beantragt.  Beratung hinsichtlich des <Diagnosis_or_Pathology>Schwerbehindertenrechts</Diagnosis_or_Pathology>, wobei Frau Gebauer derzeit eine Antragstellung ablehnt. Ehemann und Tochter haben eine notariell beglaubigt Vorsorgevollmacht für die Patientin, es besteht außerdem eine Patientenverfügung. Beratung der Angehörigen und Antragstellung auf Einstufung in der Pflegeversicherung.","{'id': 13, 'type': 'sentence', 'text': 'Verordnete Hilfsmittel für den nachstationären Bedarf: Toilettensitzerhöhung, Badewannenbrett mit Halterung. Greifzange, Lumbalbandage Lumbamed plus. Folgendes aus dem sozialmedizinischen Bereich wurde beantragt.  Beratung hinsichtlich des Schwerbehindertenrechts, wobei Frau Gebauer derzeit eine Antragstellung ablehnt. Ehemann und Tochter haben eine notariell beglaubigt Vorsorgevollmacht für die Patientin, es besteht außerdem eine Patientenverfügung. Beratung der Angehörigen und Antragstellung auf Einstufung in der Pflegeversicherung.', 'offsets': [[4530, 5070]], 'document_id': 'Gebauer.tsv'}"
"13.1.2030, 08.15 Uhr Stationäre Wiederaufnahme zur <Therapeutic>Fortsetzung der Polychemotherapie mit FOLFOX, 6. Zyklus</Therapeutic>.","13.1.2030, 08.15 Uhr Stationäre Wiederaufnahme zur <Therapeutic>Fortsetzung der Polychemotherapie mit FOLFOX, 6. Zyklus</Therapeutic>.","{'id': 54, 'type': 'sentence', 'text': '13.1.2030, 08.15 Uhr Stationäre Wiederaufnahme zur Fortsetzung der Polychemotherapie mit FOLFOX, 6. Zyklus.', 'offsets': [[2533, 2640]], 'document_id': 'Colon_Fake_F.tsv'}"
"Die <Therapeutic>Operation</Therapeutic> wurde für den 2. Mai 2023 festgelegt, womit die Patientin einverstanden war.","Die <Therapeutic>Operation</Therapeutic> wurde für 2/5/2023 festgelegt, womit die Pat. einverstanden war.","{'id': 125, 'type': 'sentence', 'text': 'Die Operation wurde für 2/5/2023 festgelegt, womit die Pat. einverstanden war.', 'offsets': [[7653, 7731]], 'document_id': 'Colon_Fake_H.tsv'}"
"Hiermit berichte ich über unsere gemeinsame Patientin, welche sich vom 2.11. – 24.11.28 bei uns in einer <Therapeutic>stationären Behandlung</Therapeutic> befand.","hiermit berichte ich über unsere gemeinsame Patientin, welche sich vom 2.11. – 24.11.28 bei uns in <Therapeutic>stat. Behandlung</Therapeutic> befand.","{'id': 5, 'type': 'sentence', 'text': 'hiermit berichte ich über unsere gemeinsame Patientin, welche sich vom 2.11. – 24.11.28 bei uns in stat. Behandlung befand.', 'offsets': [[170, 293]], 'document_id': 'Gebauer.tsv'}"
und 4000ml orale Flüssigkeitszufuhr zur <Therapeutic>Forcierung der Diurese</Therapeutic>.,und 4000ml oral um die <Therapeutic>Diurese zu forcieren</Therapeutic>.,"{'id': 33, 'type': 'sentence', 'text': 'und 4000ml oral um die Diurese zu forcieren.', 'offsets': [[1370, 1414]], 'document_id': 'Colon_Fake_A.tsv'}"
"<Diagnostic>Röntgen-Thorax in 2 Ebenen mit <External_Substance>Breischluck</External_Substance></Diagnostic>: <Other_Finding>Linksbetontes Herz mit einem CT-Quotienten von 0,42 und freiem Retrokardialraum</Other_Finding>. <Other_Finding>Beidseitig dichte Hili</Other_Finding>. <Diagnosis_or_Pathology>Aortensklerose</Diagnosis_or_Pathology>. <Other_Finding>Lungen und Sinus ohne Befund</Other_Finding>.","<Diagnostic>Rö.-Thorax in 2 Eb. Mit <External_Substance>Breischluck</Diagnostic></External_Substance>: <Other_Finding>Li. betontes Herz mit einem CT-Quot. von 0,42 u. freiem Retrokardialraum</Other_Finding>. <Other_Finding>Bds. dichte Hili</Other_Finding>. <Diagnosis_or_Pathology>Aortensklerose</Diagnosis_or_Pathology>. <Other_Finding>Lungen u. Sinus o.B.</Other_Finding>","{'id': 12, 'type': 'sentence', 'text': 'Rö.-Thorax in 2 Eb. Mit Breischluck: Li. betontes Herz mit einem CT-Quot. von 0,42 u. freiem Retrokardialraum. Bds. dichte Hili. Aortensklerose. Lungen u. Sinus o.B.', 'offsets': [[1434, 1599]], 'document_id': 'Jenninger.tsv'}"
<Therapeutic>Die Operation(en)</Therapeutic> führten zu <Diagnostic>den Histologie(n)</Diagnostic>.,<Therapeutic>Operation(en)</Therapeutic> und <Diagnostic>Histologie(n)</Diagnostic>:,"{'id': 11, 'type': 'sentence', 'text': 'Operation(en) und Histologie(n):', 'offsets': [[531, 563]], 'document_id': 'Colon_Fake_B.tsv'}"
Die <Diagnosis_or_Pathology>Chondromalazie des Kniegelenks rechts</Diagnosis_or_Pathology> (<Diagnosis_or_Pathology>M94.26</Diagnosis_or_Pathology>) wurde diagnostiziert.,<Diagnosis_or_Pathology>Chondromalazie Kniegelenk rechts</Diagnosis_or_Pathology> (<Diagnosis_or_Pathology>M94.26</Diagnosis_or_Pathology>),"{'id': 7, 'type': 'sentence', 'text': 'Chondromalazie Kniegelenk rechts (M94.26)', 'offsets': [[344, 385]], 'document_id': 'Ilgner.tsv'}"
"<Clinical_Drug>Levothyroxin</Clinical_Drug> und <Clinical_Drug>Euthyrox 75 1-0-0, nüchtern</Clinical_Drug> (beide sind Medikamente zur Behandlung von Schilddrüsenproblemen)","<Clinical_Drug>Levothvroxin</Clinical_Drug> <Clinical_Drug>Euthyrox 75 1-0-0, nüchtern</Clinical_Drug>","{'id': 23, 'type': 'sentence', 'text': 'Levothvroxin Euthyrox 75 1-0-0, nüchtern', 'offsets': [[6089, 6129]], 'document_id': 'Gebauer.tsv'}"
Im Mittelpunkt der <Therapeutic>neuropsychologischen Behandlung</Therapeutic> standen <Therapeutic>regelmäßige Gespräche zur Unterstützung und Begleitung des Aufenthaltes</Therapeutic>. Aufgrund der <Diagnosis_or_Pathology>neu diagnostizierten Krankheit</Diagnosis_or_Pathology> ergaben sich eine Reihe von Fragen und Problemen zum Umgang mit der <Diagnosis_or_Pathology>Krankheit</Diagnosis_or_Pathology>. Herr Theodor nutzte die Gesprächstmöglichkeiten sehr aktiv.,Im Mittelpunkt der <Therapeutic>neuropsychologischen Behandlung</Therapeutic> standen <Therapeutic>regelmäßige Gespräche zur Unterstützung und Begleitung des Aufenthaltes</Therapeutic>. Aufgrund der <Diagnosis_or_Pathology>dem Patienten noch nicht lange bekannten Diagnose</Diagnosis_or_Pathology> ergaben sich eine Reihe von Fragen und Problemen zum Umgang mit der <Diagnosis_or_Pathology>Krankheit</Diagnosis_or_Pathology>. Herr Theodor nutzte die Gesprächstmöglichkeiten sehr aktiv.,"{'id': 76, 'type': 'sentence', 'text': 'Im Mittelpunkt der neuropsychologischen Behandlung standen regelmäßige Gespräche zur Unterstützung und Begleitung des Aufenthaltes. Aufgrund der dem Patienten noch nicht lange bekannten Diagnose ergaben sich eine Reihe von Fragen und Problemen zum Umgang mit der Krankheit. Herr Theodor nutzte die Gesprächstmöglichkeiten sehr aktiv.', 'offsets': [[7942, 8275]], 'document_id': 'Theodor.tsv'}"
kein <Diagnosis_or_Pathology>Erguss beidseitig</Diagnosis_or_Pathology>,kein <Diagnosis_or_Pathology>Erguss bds.</Diagnosis_or_Pathology>,"{'id': 44, 'type': 'sentence', 'text': 'kein Erguss bds.', 'offsets': [[3916, 3932]], 'document_id': 'Colon_Fake_K.tsv'}"
"05.02.2028 <Diagnostic>CCT-Untersuchung</Diagnostic> und <Diagnostic>GK-CT-Untersuchung</Diagnostic>: <Other_Finding>Befunde</Other_Finding> folgen nach Vergleich mit <Diagnostic>VU</Diagnostic> (Drs. Seiler und Wantzer melden sich bei Xxxxx). Pat. während Transport und <Diagnostic>Untersuchung</Diagnostic> <Other_Finding>kardiopulmonal stabil</Other_Finding>. 05.02.2028 <Other_Finding>GKCT-Befund</Other_Finding> (Dr. Bechterew): Keine <Diagnosis_or_Pathology>Thrombosen</Diagnosis_or_Pathology>, keine <Diagnosis_or_Pathology>Ischämien</Diagnosis_or_Pathology>, <Diagnosis_or_Pathology>viel freie Flüssigkeit im Abdomen</Diagnosis_or_Pathology>, <Diagnosis_or_Pathology>im Bereich des Pylorus und proximalen Duodenum ödematöse Wandverdickung</Diagnosis_or_Pathology> -> könnte auf ein <Diagnosis_or_Pathology>Ulcus</Diagnosis_or_Pathology> hinweisen. <Diagnosis_or_Pathology>Pleuraergüsse: re (ca. 800 ml) > li. (deutlich weniger)</Diagnosis_or_Pathology> <Therapeutic>Tubus liegt tief über Carinawinkel -> kann 2 cm zurückgezogen</Therapeutic> werden.","05.02.2028 <Diagnostic>CCT</Diagnostic> und <Diagnostic>GK-CT</Diagnostic>: <Other_Finding>Befunde</Other_Finding> folgen nach Vergleich mit <Diagnostic>VU</Diagnostic> (Drs. Seiler und Wantzer melden sich bei Xxxxx). Pat. während Transport und <Diagnostic>Untersuchung</Diagnostic> <Other_Finding>kardiopulmonal stabil</Other_Finding>. 05.02.2028 <Other_Finding>GKCT-Befund</Other_Finding> (Dr. Bechterew): Keine <Diagnosis_or_Pathology>Thrombosen</Diagnosis_or_Pathology>, keine <Diagnosis_or_Pathology>Ischämien</Diagnosis_or_Pathology>, <Diagnosis_or_Pathology>viel freie FF im Abdomen</Diagnosis_or_Pathology>, <Diagnosis_or_Pathology>im Bereich des Pylorus und proximalen Duodenum ödematöse Wandverdickung</Diagnosis_or_Pathology> -> könnte auf ein <Diagnosis_or_Pathology>Ulcus</Diagnosis_or_Pathology> hinweisen. <Diagnosis_or_Pathology>Pleuraergüsse: re (ca. 800 ml) > li. (deutlich weniger)</Diagnosis_or_Pathology> <Therapeutic>Tubus liegt tief über Carinawinkel -> kann 2 cm zurückgezogen</Therapeutic> werden.","{'id': 57, 'type': 'sentence', 'text': '05.02.2028 CCT und GK-CT: Befunde folgen nach Vergleich mit VU (Drs. Seiler und Wantzer melden sich bei Xxxxx). Pat. während Transport und Untersuchung kardiopulmonal stabil. 05.02.2028 GKCT-Befund (Dr. Bechterew): Keine Thrombosen, keine Ischämien, viel freie FF im Abdomen, im Bereich des Pylorus und proximalen Duodenum ödematöse Wandverdickung -> könnte auf ein Ulcus hinweisen. Pleuraergüsse: re (ca. 800 ml) > li. (deutlich weniger) Tubus liegt tief über Carinawinkel -> kann 2 cm zurückgezogen werden.', 'offsets': [[4031, 4539]], 'document_id': 'Amanda_Alzheimer.tsv'}"
"<Diagnosis_or_Pathology>Pathologisch erhöhte</Diagnosis_or_Pathology> Werte: Kalium 5,1, Krea 1,21, NT-proBNP 125.","<Diagnosis_or_Pathology>patholog. erhöht: Kalium 5,1, Krea 1,21, NT-proBNP 125</Diagnosis_or_Pathology>.","{'id': 56, 'type': 'sentence', 'text': 'patholog. erhöht: Kalium 5,1, Krea 1,21, NT-proBNP 125.', 'offsets': [[5066, 5121]], 'document_id': 'Ypsilanti.tsv'}"
